account_id,month,payment_status,price_per_hour_compute,price_per_gb_storage,price_per_gb_network,billed_compute_usd,billed_storage_usd,billed_network_usd,billed_amount_usd,cost_compute_usd,cost_storage_usd,cost_network_usd,cost_usd,discount_percent,discount_usd,billed_after_discount_usd,cost_after_discount_usd,prev_month_cost,cost_change,pct_change,anomaly_type,account_name,plan_type,industry,region
A0310,2024-08,Paid,0.0245,0.0215,0.086,2.83,1.94,3.11,20.24,2.02,1.38,2.21,14.43,0,0.0,20.24,14.43,3.64,10.79,296.43,SPIKE,Company_310,Pro,E-commerce,EMEA
A0812,2025-07,Paid,0.026,0.022,0.087,1.05,1.16,0.98,10.79,0.79,0.88,0.74,8.15,0,0.0,10.79,8.15,2.06,6.09,295.63,SPIKE,Company_812,Pro,E-commerce,US-East
A1212,2024-08,Paid,0.025,0.023,0.09,6.57,1.86,8.08,40.56,4.74,1.34,5.83,29.26,0,0.0,40.56,29.26,7.46,21.8,292.23,SPIKE,Company_1212,Enterprise,E-commerce,APAC
A0798,2025-05,Pending,0.025,0.023,0.09,3.93,4.48,5.0,44.99,2.77,3.16,3.53,31.76,5,2.25,42.74,31.76,8.29,23.470000000000002,283.11,SPIKE,Company_798,Standard,SaaS,LATAM
A0842,2025-09,Paid,0.025,0.023,0.09,4.14,1.05,2.14,22.25,2.92,0.74,1.51,15.67,10,2.22,20.03,15.67,4.12,11.55,280.34,SPIKE,Company_842,Pro,Telecom,LATAM
A0710,2024-07,Paid,0.025,0.023,0.09,6.56,1.97,3.93,33.64,4.03,1.21,2.42,20.68,0,0.0,33.64,20.68,5.44,15.239999999999998,280.15,SPIKE,Company_710,Pro,Healthcare,LATAM
A1123,2025-04,Paid,0.026,0.022,0.087,2.19,3.11,2.53,25.12,1.52,2.16,1.76,17.44,5,1.26,23.86,17.44,4.59,12.850000000000001,279.96,SPIKE,Company_1123,Standard,Telecom,US-West
A1134,2024-11,Paid,0.025,0.023,0.09,1.06,1.26,1.54,13.74,0.66,0.78,0.95,8.52,5,0.69,13.05,8.52,2.28,6.24,273.68,SPIKE,Company_1134,Pro,Healthcare,EMEA
A1227,2024-10,Paid,0.025,0.023,0.09,0.46,0.2,0.54,2.67,0.35,0.15,0.42,2.08,0,0.0,2.67,2.08,0.56,1.52,271.43,SPIKE,Company_1227,Free,Healthcare,APAC
A1341,2025-06,Paid,0.026,0.022,0.087,3.32,3.02,8.03,38.64,2.62,2.38,6.34,30.52,10,3.86,34.78,30.52,8.28,22.240000000000002,268.6,SPIKE,Company_1341,Standard,Telecom,EMEA
A1293,2025-07,Paid,0.024,0.02,0.085,4.03,1.18,6.58,29.1,2.77,0.81,4.52,20.0,5,1.46,27.64,20.0,5.43,14.57,268.32,SPIKE,Company_1293,Pro,IoT,EMEA
A0930,2024-05,Overdue,0.025,0.023,0.09,1.45,0.59,1.37,8.16,1.02,0.41,0.97,5.75,5,0.41,7.75,5.75,1.57,4.18,266.24,SPIKE,Company_930,Pro,SaaS,US-East
A0071,2024-09,Paid,0.025,0.023,0.09,0.84,0.99,1.36,10.96,0.67,0.79,1.09,8.74,10,1.1,9.86,8.74,2.42,6.32,261.16,SPIKE,Company_71,Enterprise,Gaming,LATAM
A0531,2024-05,Paid,0.0245,0.0215,0.086,3.72,1.08,5.61,25.4,2.29,0.66,3.45,15.64,5,1.27,24.13,15.64,4.34,11.3,260.37,SPIKE,Company_531,Standard,Gaming,LATAM
A0485,2025-06,Paid,0.025,0.023,0.09,5.16,2.9,6.48,34.9,3.81,2.14,4.79,25.8,5,1.74,33.16,25.8,7.16,18.64,260.34,SPIKE,Company_485,Standard,IoT,US-East
A1206,2025-08,Paid,0.025,0.023,0.09,2.58,1.88,2.93,20.61,1.86,1.36,2.11,14.87,5,1.03,19.58,14.87,4.13,10.739999999999998,260.05,SPIKE,Company_1206,Pro,Telecom,US-East
A1129,2024-08,Paid,0.026,0.022,0.087,5.59,2.2,8.61,47.45,3.36,1.32,5.17,28.49,5,2.37,45.08,28.49,7.97,20.52,257.47,SPIKE,Company_1129,Standard,SaaS,APAC
A0944,2024-03,Paid,0.025,0.023,0.09,5.64,5.28,8.14,49.45,4.17,3.9,6.02,36.57,10,4.94,44.51,36.57,10.24,26.33,257.13,SPIKE,Company_944,Standard,Gaming,EMEA
A1423,2024-12,Paid,0.026,0.022,0.087,3.03,0.59,2.97,16.56,2.38,0.46,2.33,13.01,5,0.83,15.73,13.01,3.67,9.34,254.5,SPIKE,Company_1423,Pro,Gaming,EMEA
A0014,2025-02,Paid,0.026,0.022,0.087,3.34,3.55,6.78,34.96,1.94,2.06,3.93,20.27,5,1.75,33.21,20.27,5.77,14.5,251.3,SPIKE,Company_14,Standard,SaaS,EMEA
A1380,2024-05,Paid,0.025,0.023,0.09,6.77,3.3,7.73,42.03,3.74,1.83,4.27,23.24,15,6.3,35.73,23.24,6.64,16.599999999999998,250.0,SPIKE,Company_1380,Standard,Telecom,APAC
A0997,2024-11,Paid,0.025,0.023,0.09,1.91,1.18,0.6,11.17,1.5,0.93,0.48,8.81,5,0.56,10.61,8.81,2.52,6.290000000000001,249.6,SPIKE,Company_997,Standard,E-commerce,LATAM
A0820,2024-09,Pending,0.025,0.023,0.09,2.07,0.54,1.32,11.7,1.21,0.32,0.77,6.85,5,0.58,11.12,6.85,1.97,4.88,247.72,SPIKE,Company_820,Standard,SaaS,US-West
A0142,2025-05,Paid,0.026,0.022,0.087,2.32,0.99,4.39,19.88,1.77,0.76,3.36,15.23,0,0.0,19.88,15.23,4.4,10.83,246.14,SPIKE,Company_142,Pro,E-commerce,EMEA
A0491,2024-11,Paid,0.025,0.023,0.09,3.91,1.57,3.28,23.94,3.11,1.25,2.61,19.02,15,3.59,20.35,19.02,5.5,13.52,245.82,SPIKE,Company_491,Enterprise,Telecom,US-East
A0914,2025-03,Paid,0.024,0.02,0.085,0.69,0.26,0.68,3.93,0.52,0.2,0.51,2.93,5,0.2,3.73,2.93,0.85,2.08,244.71,SPIKE,Company_914,Pro,Healthcare,US-West
A1475,2025-02,Paid,0.026,0.022,0.087,0.09,0.04,0.13,0.62,0.07,0.03,0.1,0.48,0,0.0,0.62,0.48,0.14,0.33999999999999997,242.86,SPIKE,Company_1475,Free,Fintech,US-West
A1301,2024-07,Paid,0.024,0.02,0.085,5.22,4.07,9.34,46.52,3.05,2.38,5.45,27.17,15,6.98,39.54,27.17,7.96,19.21,241.33,SPIKE,Company_1301,Pro,IoT,EMEA
A1026,2024-07,Paid,0.026,0.022,0.087,0.78,0.89,1.95,10.05,0.6,0.69,1.52,7.81,0,0.0,10.05,7.81,2.29,5.52,241.05,SPIKE,Company_1026,Pro,E-commerce,EMEA
A0124,2025-06,Paid,0.024,0.02,0.085,4.5,2.3,6.45,37.49,3.16,1.61,4.53,26.31,5,1.87,35.62,26.31,7.73,18.58,240.36,SPIKE,Company_124,Pro,E-commerce,LATAM
A0975,2024-12,Paid,0.024,0.02,0.085,3.19,3.28,3.76,30.56,1.86,1.91,2.18,17.78,0,0.0,30.56,17.78,5.36,12.420000000000002,231.72,SPIKE,Company_975,Standard,SaaS,EMEA
A0432,2024-02,Paid,0.024,0.02,0.085,5.14,1.43,8.14,39.77,3.99,1.11,6.31,30.85,0,0.0,39.77,30.85,9.34,21.51,230.3,SPIKE,Company_432,Standard,IoT,APAC
A0257,2025-02,Overdue,0.026,0.022,0.087,1.41,1.3,2.95,13.9,1.0,0.92,2.1,9.89,15,2.08,11.82,9.89,3.01,6.880000000000001,228.57,SPIKE,Company_257,Pro,E-commerce,LATAM
A0110,2024-08,Paid,0.024,0.02,0.085,3.41,2.55,3.68,23.72,2.58,1.93,2.78,17.94,0,0.0,23.72,17.94,5.49,12.450000000000001,226.78,SPIKE,Company_110,Standard,SaaS,US-West
A0972,2024-05,Paid,0.024,0.02,0.085,7.54,1.53,8.57,40.99,5.69,1.16,6.47,30.96,5,2.05,38.94,30.96,9.5,21.46,225.89,SPIKE,Company_972,Pro,IoT,APAC
A1310,2024-06,Paid,0.0245,0.0215,0.086,3.15,1.75,4.16,21.33,2.45,1.36,3.24,16.61,0,0.0,21.33,16.61,5.15,11.459999999999999,222.52,SPIKE,Company_1310,Standard,SaaS,LATAM
A1407,2024-04,Overdue,0.025,0.023,0.09,3.29,3.35,7.74,42.48,2.18,2.22,5.12,28.12,10,4.25,38.23,28.12,8.78,19.340000000000003,220.27,SPIKE,Company_1407,Enterprise,Fintech,APAC
A1065,2025-08,Paid,0.026,0.022,0.087,3.4,2.63,4.8,27.12,2.64,2.05,3.73,21.09,10,2.71,24.41,21.09,6.61,14.48,219.06,SPIKE,Company_1065,Pro,E-commerce,LATAM
A1054,2025-03,Paid,0.024,0.02,0.085,0.42,0.2,0.27,2.66,0.34,0.16,0.21,2.13,20,0.53,2.13,2.13,0.67,1.46,217.91,SPIKE,Company_1054,Standard,SaaS,US-West
A1412,2024-12,Paid,0.026,0.022,0.087,0.51,0.51,0.69,4.87,0.41,0.41,0.55,3.87,5,0.24,4.63,3.87,1.22,2.6500000000000004,217.21,SPIKE,Company_1412,Pro,Telecom,LATAM
A0913,2024-02,Paid,0.026,0.022,0.087,2.63,1.28,2.55,14.74,1.78,0.87,1.73,10.0,0,0.0,14.74,10.0,3.18,6.82,214.47,SPIKE,Company_913,Enterprise,E-commerce,APAC
A0700,2025-05,Paid,0.025,0.023,0.09,6.69,4.38,5.37,39.45,4.52,2.96,3.63,26.67,0,0.0,39.45,26.67,8.53,18.14,212.66,SPIKE,Company_700,Enterprise,SaaS,LATAM
A0643,2024-02,Pending,0.025,0.023,0.09,1.07,0.66,0.82,6.39,0.81,0.5,0.62,4.84,0,0.0,6.39,4.84,1.55,3.29,212.26,SPIKE,Company_643,Pro,Fintech,EMEA
A0931,2025-07,Paid,0.025,0.023,0.09,2.22,1.2,4.28,20.34,1.61,0.87,3.1,14.74,15,3.05,17.29,14.74,4.73,10.01,211.63,SPIKE,Company_931,Pro,SaaS,LATAM
A0937,2025-07,Paid,0.025,0.023,0.09,6.39,2.37,7.88,37.92,4.58,1.7,5.64,27.15,0,0.0,37.92,27.15,8.73,18.419999999999998,211.0,SPIKE,Company_937,Pro,Telecom,LATAM
A1050,2024-02,Paid,0.025,0.023,0.09,6.34,5.29,8.43,49.48,4.6,3.84,6.11,35.87,0,0.0,49.48,35.87,11.54,24.33,210.83,SPIKE,Company_1050,Standard,Telecom,US-West
A1336,2024-02,Paid,0.025,0.023,0.09,7.45,4.01,10.26,51.23,5.69,3.06,7.83,39.1,5,2.56,48.67,39.1,12.59,26.51,210.56,SPIKE,Company_1336,Standard,Healthcare,LATAM
A1252,2024-11,Paid,0.024,0.02,0.085,1.38,1.88,1.67,16.2,1.03,1.4,1.25,12.1,0,0.0,16.2,12.1,3.91,8.19,209.46,SPIKE,Company_1252,Enterprise,Telecom,EMEA
A0688,2025-08,Paid,0.024,0.02,0.085,4.05,2.4,5.16,28.63,3.12,1.85,3.98,22.06,15,4.29,24.34,22.06,7.14,14.919999999999998,208.96,SPIKE,Company_688,Standard,E-commerce,US-East
A0707,2025-06,Paid,0.024,0.02,0.085,3.78,2.62,5.02,30.89,2.86,1.97,3.79,23.32,5,1.54,29.35,23.32,7.58,15.74,207.65,SPIKE,Company_707,Standard,Telecom,APAC
A0893,2024-03,Pending,0.026,0.022,0.087,7.03,3.37,9.3,46.01,4.07,1.95,5.38,26.62,5,2.3,43.71,26.62,8.67,17.950000000000003,207.04,SPIKE,Company_893,Standard,SaaS,US-West
A1260,2024-03,Paid,0.025,0.023,0.09,0.94,1.09,1.95,10.33,0.69,0.8,1.43,7.6,0,0.0,10.33,7.6,2.48,5.119999999999999,206.45,SPIKE,Company_1260,Pro,Telecom,US-West
A1320,2024-02,Paid,0.025,0.023,0.09,2.91,1.87,3.99,22.2,2.22,1.42,3.04,16.91,5,1.11,21.09,16.91,5.52,11.39,206.34,SPIKE,Company_1320,Pro,Gaming,LATAM
A1076,2024-05,Paid,0.024,0.02,0.085,2.64,1.43,6.57,28.85,1.45,0.78,3.6,15.81,5,1.44,27.41,15.81,5.17,10.64,205.8,SPIKE,Company_1076,Pro,E-commerce,APAC
A1403,2025-07,Paid,0.026,0.022,0.087,6.23,3.8,1.65,32.3,3.89,2.38,1.03,20.2,10,3.23,29.07,20.2,6.61,13.59,205.6,SPIKE,Company_1403,Enterprise,Fintech,US-East
A0526,2025-02,Paid,0.026,0.022,0.087,0.05,0.07,0.16,0.73,0.04,0.06,0.12,0.55,15,0.11,0.62,0.55,0.18,0.37000000000000005,205.56,SPIKE,Company_526,Free,Telecom,US-East
A0121,2025-03,Paid,0.024,0.02,0.085,4.32,1.84,2.68,23.72,3.31,1.42,2.06,18.2,10,2.37,21.35,18.2,5.96,12.239999999999998,205.37,SPIKE,Company_121,Standard,E-commerce,LATAM
A1343,2025-04,Paid,0.026,0.022,0.087,1.13,0.68,1.38,7.25,0.77,0.47,0.94,4.94,5,0.36,6.89,4.94,1.62,3.3200000000000003,204.94,SPIKE,Company_1343,Pro,Fintech,US-West
A0740,2024-12,Paid,0.024,0.02,0.085,0.14,0.11,0.28,1.3,0.1,0.08,0.21,0.97,0,0.0,1.3,0.97,0.32,0.6499999999999999,203.12,SPIKE,Company_740,Free,Fintech,EMEA
A0901,2025-07,Paid,0.026,0.022,0.087,3.32,1.25,3.77,19.31,2.46,0.92,2.8,14.33,5,0.97,18.34,14.33,4.73,9.6,202.96,SPIKE,Company_901,Pro,Healthcare,US-West
A0576,2024-04,Paid,0.025,0.023,0.09,0.48,0.16,0.39,3.15,0.33,0.11,0.27,2.18,0,0.0,3.15,2.18,0.72,1.4600000000000002,202.78,SPIKE,Company_576,Standard,Telecom,APAC
A1274,2025-06,Paid,0.025,0.023,0.09,4.86,2.05,6.8,32.91,3.41,1.44,4.77,23.1,5,1.65,31.26,23.1,7.64,15.46,202.36,SPIKE,Company_1274,Pro,SaaS,US-East
A0950,2025-06,Paid,0.025,0.023,0.09,0.35,0.16,0.36,2.02,0.23,0.11,0.24,1.36,0,0.0,2.02,1.36,0.45,0.9100000000000001,202.22,SPIKE,Company_950,Free,IoT,LATAM
A0951,2025-08,Paid,0.025,0.023,0.09,5.22,4.96,11.92,54.17,4.11,3.9,9.38,42.62,10,5.42,48.75,42.62,14.16,28.459999999999997,200.99,SPIKE,Company_951,Pro,IoT,APAC
A1244,2024-08,Pending,0.025,0.023,0.09,3.21,2.68,5.55,35.56,2.4,2.0,4.14,26.54,10,3.56,32.0,26.54,8.84,17.7,200.23,SPIKE,Company_1244,Standard,E-commerce,APAC
A1254,2024-06,Paid,0.025,0.023,0.09,0.11,0.05,0.15,0.72,0.07,0.04,0.1,0.48,10,0.07,0.65,0.48,0.16,0.31999999999999995,200.0,SPIKE,Company_1254,Free,E-commerce,US-East
A0799,2025-05,Paid,0.025,0.023,0.09,3.45,3.33,6.97,37.72,2.69,2.59,5.42,29.36,5,1.89,35.83,29.36,9.81,19.549999999999997,199.29,SPIKE,Company_799,Enterprise,IoT,EMEA
A0794,2024-02,Pending,0.025,0.023,0.09,1.48,0.66,3.49,15.62,0.99,0.44,2.34,10.45,15,2.34,13.28,10.45,3.51,6.9399999999999995,197.72,SPIKE,Company_794,Standard,Telecom,US-West
A0344,2024-04,Paid,0.024,0.02,0.085,1.38,1.1,3.23,14.6,1.07,0.85,2.51,11.35,0,0.0,14.6,11.35,3.82,7.529999999999999,197.12,SPIKE,Company_344,Pro,Gaming,US-West
A0370,2025-08,Paid,0.024,0.02,0.085,5.6,2.26,4.9,30.06,3.51,1.42,3.07,18.85,0,0.0,30.06,18.85,6.38,12.470000000000002,195.45,SPIKE,Company_370,Standard,Gaming,EMEA
A0436,2025-06,Paid,0.025,0.023,0.09,0.9,0.41,1.46,6.98,0.64,0.29,1.05,4.99,0,0.0,6.98,4.99,1.69,3.3000000000000003,195.27,SPIKE,Company_436,Enterprise,E-commerce,US-West
A0825,2024-05,Paid,0.024,0.02,0.085,9.45,2.36,6.36,50.16,5.98,1.5,4.03,31.76,0,0.0,50.16,31.76,10.76,21.0,195.17,SPIKE,Company_825,Standard,Healthcare,US-West
A1067,2025-07,Paid,0.025,0.023,0.09,4.1,0.83,3.23,22.22,2.75,0.56,2.17,14.93,0,0.0,22.22,14.93,5.09,9.84,193.32,SPIKE,Company_1067,Standard,E-commerce,EMEA
A1406,2024-02,Paid,0.026,0.022,0.087,1.6,1.32,2.0,18.94,1.25,1.03,1.56,14.78,5,0.95,17.99,14.78,5.04,9.739999999999998,193.25,SPIKE,Company_1406,Standard,IoT,US-East
A1117,2024-06,Paid,0.026,0.022,0.087,3.42,3.25,4.71,29.35,2.47,2.36,3.41,21.23,10,2.94,26.41,21.23,7.24,13.99,193.23,SPIKE,Company_1117,Standard,Gaming,APAC
A0380,2025-01,Paid,0.026,0.022,0.087,2.94,1.47,1.89,18.67,2.2,1.11,1.42,14.0,5,0.93,17.74,14.0,4.79,9.21,192.28,SPIKE,Company_380,Standard,Healthcare,EMEA
A0202,2024-05,Paid,0.026,0.022,0.087,0.18,0.06,0.1,1.11,0.14,0.04,0.08,0.84,10,0.11,1.0,0.84,0.29,0.55,189.66,SPIKE,Company_202,Free,E-commerce,US-West
A0979,2025-02,Paid,0.024,0.02,0.085,2.28,0.99,2.46,13.1,1.58,0.69,1.7,9.06,5,0.66,12.44,9.06,3.15,5.91,187.62,SPIKE,Company_979,Standard,Healthcare,US-East
A0658,2024-11,Paid,0.024,0.02,0.085,4.81,3.14,5.77,35.6,3.85,2.51,4.62,28.48,0,0.0,35.6,28.48,9.92,18.560000000000002,187.1,SPIKE,Company_658,Enterprise,Healthcare,US-West
A1122,2024-09,Paid,0.025,0.023,0.09,1.75,0.57,2.06,11.88,1.39,0.45,1.64,9.44,5,0.59,11.29,9.44,3.29,6.1499999999999995,186.93,SPIKE,Company_1122,Pro,IoT,APAC
A0458,2024-07,Paid,0.024,0.02,0.085,5.54,1.3,4.96,32.54,4.18,0.98,3.74,24.54,0,0.0,32.54,24.54,8.56,15.979999999999999,186.68,SPIKE,Company_458,Pro,IoT,APAC
A1114,2024-09,Paid,0.025,0.023,0.09,1.36,0.66,0.73,8.96,0.81,0.39,0.43,5.36,5,0.45,8.51,5.36,1.87,3.49,186.63,SPIKE,Company_1114,Pro,E-commerce,APAC
A1270,2025-01,Paid,0.025,0.023,0.09,3.48,2.63,1.89,23.56,2.18,1.65,1.19,14.78,0,0.0,23.56,14.78,5.16,9.62,186.43,SPIKE,Company_1270,Standard,Gaming,EMEA
A0097,2025-06,Pending,0.025,0.023,0.09,7.04,5.2,7.44,47.99,5.63,4.16,5.94,38.35,20,9.6,38.39,38.35,13.39,24.96,186.41,SPIKE,Company_97,Pro,Gaming,EMEA
A0556,2024-12,Paid,0.024,0.02,0.085,4.18,2.65,2.6,24.48,2.41,1.53,1.5,14.11,5,1.22,23.26,14.11,4.94,9.169999999999998,185.63,SPIKE,Company_556,Pro,SaaS,APAC
A0217,2024-10,Paid,0.026,0.022,0.087,2.01,1.13,1.15,11.02,1.57,0.88,0.9,8.64,10,1.1,9.92,8.64,3.03,5.610000000000001,185.15,SPIKE,Company_217,Pro,IoT,US-West
A0805,2024-03,Paid,0.025,0.023,0.09,2.57,2.61,6.75,34.21,2.0,2.03,5.26,26.69,20,6.84,27.37,26.69,9.39,17.3,184.24,SPIKE,Company_805,Pro,Gaming,US-West
A1263,2024-04,Paid,0.024,0.02,0.085,1.81,1.94,2.68,17.21,1.39,1.5,2.07,13.28,0,0.0,17.21,13.28,4.69,8.59,183.16,SPIKE,Company_1263,Pro,E-commerce,APAC
A0451,2024-02,Paid,0.024,0.02,0.085,3.01,1.79,2.52,20.17,2.38,1.41,1.99,15.95,5,1.01,19.16,15.95,5.64,10.309999999999999,182.8,SPIKE,Company_451,Enterprise,Fintech,EMEA
A0713,2024-10,Paid,0.0245,0.0215,0.086,3.62,3.11,3.36,34.04,2.5,2.14,2.32,23.49,10,3.4,30.64,23.49,8.31,15.179999999999998,182.67,SPIKE,Company_713,Pro,SaaS,US-West
A0689,2025-03,Paid,0.026,0.022,0.087,5.48,2.48,3.59,29.26,4.09,1.85,2.68,21.83,0,0.0,29.26,21.83,7.73,14.099999999999998,182.41,SPIKE,Company_689,Standard,E-commerce,US-East
A0192,2025-08,Paid,0.025,0.023,0.09,6.34,3.59,3.7,41.11,4.84,2.74,2.82,31.36,10,4.11,37.0,31.36,11.13,20.229999999999997,181.76,SPIKE,Company_192,Standard,SaaS,APAC
A1249,2025-02,Paid,0.025,0.023,0.09,0.08,0.07,0.08,0.81,0.06,0.05,0.05,0.56,0,0.0,0.81,0.56,0.2,0.36000000000000004,180.0,SPIKE,Company_1249,Free,Telecom,LATAM
A1291,2024-09,Paid,0.025,0.023,0.09,5.32,2.26,8.52,39.29,3.86,1.64,6.18,28.51,10,3.93,35.36,28.51,10.19,18.32,179.78,SPIKE,Company_1291,Pro,E-commerce,EMEA
A0784,2025-04,Paid,0.024,0.02,0.085,5.37,3.53,3.62,33.42,3.95,2.59,2.66,24.59,0,0.0,33.42,24.59,8.79,15.8,179.75,SPIKE,Company_784,Enterprise,Fintech,LATAM
A0070,2025-03,Paid,0.026,0.022,0.087,4.16,2.34,4.74,24.1,2.13,1.2,2.43,12.33,10,2.41,21.69,12.33,4.41,7.92,179.59,SPIKE,Company_70,Enterprise,IoT,US-West
A0427,2025-01,Paid,0.024,0.02,0.085,1.82,1.9,3.83,18.57,1.39,1.45,2.93,14.2,5,0.93,17.64,14.2,5.08,9.12,179.53,SPIKE,Company_427,Pro,E-commerce,APAC
A0987,2025-04,Paid,0.024,0.02,0.085,1.79,1.25,0.98,12.51,1.31,0.91,0.72,9.14,0,0.0,12.51,9.14,3.27,5.870000000000001,179.51,SPIKE,Company_987,Standard,Fintech,LATAM
A1232,2025-06,Paid,0.026,0.022,0.087,0.81,0.47,0.92,4.8,0.57,0.33,0.65,3.38,5,0.24,4.56,3.38,1.21,2.17,179.34,SPIKE,Company_1232,Pro,Fintech,US-West
A0916,2025-01,Paid,0.026,0.022,0.087,3.01,1.57,3.66,19.28,2.17,1.13,2.64,13.91,5,0.96,18.32,13.91,4.98,8.93,179.32,SPIKE,Company_916,Pro,E-commerce,US-West
A1079,2024-02,Paid,0.025,0.023,0.09,8.13,2.37,9.19,47.14,6.45,1.88,7.29,37.37,0,0.0,47.14,37.37,13.41,23.959999999999997,178.67,SPIKE,Company_1079,Enterprise,E-commerce,LATAM
A0241,2025-09,Paid,0.024,0.02,0.085,0.98,0.9,0.94,8.02,0.77,0.71,0.74,6.32,15,1.2,6.82,6.32,2.27,4.050000000000001,178.41,SPIKE,Company_241,Pro,Telecom,LATAM
A0612,2025-05,Paid,0.026,0.022,0.087,2.24,0.82,2.31,13.35,1.47,0.54,1.52,8.76,15,2.0,11.35,8.76,3.15,5.609999999999999,178.1,SPIKE,Company_612,Standard,Healthcare,US-West
A0106,2025-07,Paid,0.024,0.02,0.085,2.31,2.06,3.42,20.16,1.78,1.59,2.63,15.53,0,0.0,20.16,15.53,5.59,9.94,177.82,SPIKE,Company_106,Pro,SaaS,US-East
A1230,2024-09,Paid,0.026,0.022,0.087,1.79,0.8,1.17,10.01,1.11,0.49,0.72,6.2,0,0.0,10.01,6.2,2.24,3.96,176.79,SPIKE,Company_1230,Standard,Telecom,US-East
A1327,2024-05,Paid,0.025,0.023,0.09,2.93,2.44,5.49,36.97,2.07,1.73,3.88,26.15,5,1.85,35.12,26.15,9.45,16.7,176.72,SPIKE,Company_1327,Standard,IoT,APAC
A0549,2025-03,Pending,0.025,0.023,0.09,4.28,2.35,3.28,24.8,2.86,1.56,2.18,16.54,0,0.0,24.8,16.54,5.99,10.549999999999999,176.13,SPIKE,Company_549,Pro,Fintech,US-West
A1220,2024-11,Paid,0.025,0.023,0.09,4.39,2.05,3.12,28.87,3.44,1.61,2.44,22.64,10,2.89,25.98,22.64,8.2,14.440000000000001,176.1,SPIKE,Company_1220,Pro,Telecom,APAC
A1256,2025-03,Paid,0.025,0.023,0.09,5.26,2.69,6.55,33.53,4.21,2.15,5.23,26.79,10,3.35,30.18,26.79,9.71,17.08,175.9,SPIKE,Company_1256,Standard,Telecom,US-East
A0495,2025-04,Paid,0.025,0.023,0.09,5.48,2.11,4.77,31.54,4.04,1.55,3.51,23.23,15,4.73,26.81,23.23,8.43,14.8,175.56,SPIKE,Company_495,Pro,Fintech,APAC
A0458,2025-09,Paid,0.024,0.02,0.085,6.3,3.73,5.22,42.1,4.05,2.4,3.36,27.06,15,6.32,35.78,27.06,9.82,17.24,175.56,SPIKE,Company_458,Pro,IoT,APAC
A0582,2024-08,Paid,0.025,0.023,0.09,0.49,0.24,0.42,2.87,0.25,0.12,0.21,1.46,0,0.0,2.87,1.46,0.53,0.9299999999999999,175.47,SPIKE,Company_582,Pro,Fintech,US-West
A0510,2024-07,Overdue,0.025,0.023,0.09,0.07,0.04,0.06,0.41,0.04,0.02,0.03,0.22,10,0.04,0.37,0.22,0.08,0.14,175.0,SPIKE,Company_510,Free,Gaming,US-West
