account_id,month,payment_status,price_per_hour_compute,price_per_gb_storage,price_per_gb_network,billed_compute_usd,billed_storage_usd,billed_network_usd,billed_amount_usd,cost_compute_usd,cost_storage_usd,cost_network_usd,cost_usd,discount_percent,discount_usd,billed_after_discount_usd,cost_after_discount_usd
A0002,2025-02,Paid,0.026,0.022,0.087,1.89,1.46,1.46,19.01,1.34,1.03,1.03,13.45,20,3.8,15.21,13.45
A0002,2025-03,Paid,0.026,0.022,0.087,6.17,1.97,2.37,29.55,3.46,1.1,1.33,16.55,10,2.96,26.59,16.55
A0002,2025-04,Paid,0.026,0.022,0.087,2.31,1.81,7.3,31.71,1.41,1.11,4.46,19.37,0,0.0,31.71,19.37
A0002,2025-05,Paid,0.026,0.022,0.087,4.59,3.96,5.84,35.13,2.3,1.98,2.92,17.61,0,0.0,35.13,17.61
A0002,2025-06,Paid,0.026,0.022,0.087,4.1,1.68,1.75,24.67,3.07,1.26,1.31,18.48,10,2.47,22.2,18.48
A0002,2025-07,Paid,0.026,0.022,0.087,8.36,2.36,3.96,39.36,4.57,1.29,2.16,21.5,5,1.97,37.39,21.5
A0002,2025-08,Paid,0.026,0.022,0.087,3.32,3.06,6.55,31.65,1.93,1.78,3.8,18.37,0,0.0,31.65,18.37
A0002,2025-09,Overdue,0.026,0.022,0.087,3.19,4.0,6.16,36.34,2.43,3.05,4.71,27.77,5,1.82,34.52,27.77
A0003,2024-01,Overdue,0.025,0.023,0.09,1.13,0.52,1.64,7.69,0.74,0.34,1.07,5.02,0,0.0,7.69,5.02
A0003,2024-02,Paid,0.025,0.023,0.09,0.92,0.56,0.76,6.71,0.69,0.42,0.57,5.06,15,1.01,5.7,5.06
A0003,2024-03,Paid,0.025,0.023,0.09,1.6,0.88,1.76,9.57,1.1,0.61,1.22,6.62,0,0.0,9.57,6.62
A0003,2024-04,Overdue,0.025,0.023,0.09,0.86,0.57,0.88,7.46,0.62,0.41,0.63,5.39,10,0.75,6.71,5.39
A0003,2024-05,Pending,0.025,0.023,0.09,1.43,0.47,0.49,7.06,0.75,0.25,0.26,3.73,0,0.0,7.06,3.73
A0003,2024-06,Paid,0.025,0.023,0.09,0.64,0.43,1.07,7.14,0.42,0.29,0.71,4.73,5,0.36,6.78,4.73
A0003,2024-07,Pending,0.025,0.023,0.09,1.2,0.53,0.82,7.21,0.78,0.35,0.53,4.7,5,0.36,6.85,4.7
A0003,2024-08,Paid,0.025,0.023,0.09,0.49,0.25,1.33,6.31,0.37,0.19,1.01,4.81,0,0.0,6.31,4.81
A0003,2024-09,Paid,0.025,0.023,0.09,0.75,0.89,1.63,8.16,0.46,0.54,0.99,4.96,20,1.63,6.53,4.96
A0003,2024-10,Paid,0.025,0.023,0.09,1.44,1.28,2.48,11.99,0.98,0.87,1.68,8.15,10,1.2,10.79,8.15
A0003,2024-11,Pending,0.025,0.023,0.09,0.64,0.38,1.22,6.65,0.33,0.2,0.63,3.44,15,1.0,5.65,3.44
A0003,2024-12,Paid,0.025,0.023,0.09,0.59,0.61,1.68,7.69,0.36,0.37,1.04,4.74,15,1.15,6.54,4.74
A0003,2025-01,Pending,0.025,0.023,0.09,0.47,0.65,1.21,5.79,0.28,0.39,0.72,3.45,5,0.29,5.5,3.45
A0003,2025-02,Paid,0.025,0.023,0.09,0.73,0.51,0.35,5.25,0.4,0.28,0.19,2.86,15,0.79,4.46,2.86
A0003,2025-03,Paid,0.025,0.023,0.09,0.55,0.52,1.34,7.52,0.41,0.39,1.0,5.6,0,0.0,7.52,5.6
A0003,2025-04,Paid,0.025,0.023,0.09,1.11,0.32,1.64,7.77,0.68,0.19,1.0,4.77,0,0.0,7.77,4.77
A0003,2025-05,Paid,0.025,0.023,0.09,0.98,0.43,1.31,7.98,0.78,0.34,1.04,6.33,0,0.0,7.98,6.33
A0003,2025-06,Paid,0.025,0.023,0.09,0.67,0.78,0.98,7.98,0.46,0.53,0.66,5.4,0,0.0,7.98,5.4
A0003,2025-07,Pending,0.025,0.023,0.09,0.88,0.5,1.85,9.3,0.6,0.34,1.26,6.34,0,0.0,9.3,6.34
A0003,2025-08,Overdue,0.025,0.023,0.09,0.62,0.42,0.9,6.13,0.43,0.29,0.62,4.24,0,0.0,6.13,4.24
A0003,2025-09,Paid,0.025,0.023,0.09,0.51,0.48,0.81,5.58,0.36,0.34,0.57,3.93,10,0.56,5.02,3.93
A0004,2024-01,Paid,0.025,0.023,0.09,5.08,4.37,7.79,41.83,2.77,2.38,4.25,22.81,0,0.0,41.83,22.81
A0004,2024-02,Paid,0.025,0.023,0.09,2.9,1.25,5.33,29.39,1.83,0.79,3.37,18.57,0,0.0,29.39,18.57
A0004,2024-03,Paid,0.025,0.023,0.09,5.37,2.33,3.81,30.59,3.07,1.33,2.18,17.49,5,1.53,29.06,17.49
A0004,2024-04,Paid,0.025,0.023,0.09,2.47,1.91,6.13,28.09,1.53,1.18,3.8,17.44,0,0.0,28.09,17.44
A0004,2024-05,Paid,0.025,0.023,0.09,8.79,1.88,4.06,44.16,4.65,1.0,2.15,23.36,10,4.42,39.74,23.36
A0004,2024-06,Overdue,0.025,0.023,0.09,3.0,2.98,7.2,39.87,2.37,2.35,5.69,31.51,0,0.0,39.87,31.51
A0004,2024-07,Paid,0.025,0.023,0.09,4.76,1.95,5.65,40.18,2.68,1.1,3.19,22.68,20,8.04,32.14,22.68
A0004,2024-08,Pending,0.025,0.023,0.09,5.43,2.56,3.46,32.01,3.81,1.79,2.42,22.45,10,3.2,28.81,22.45
A0004,2024-09,Paid,0.025,0.023,0.09,5.58,1.46,5.59,35.44,3.29,0.86,3.3,20.92,0,0.0,35.44,20.92
A0004,2024-10,Paid,0.025,0.023,0.09,3.55,4.12,1.9,32.98,2.71,3.14,1.45,25.14,0,0.0,32.98,25.14
A0004,2024-11,Paid,0.025,0.023,0.09,5.69,1.69,9.26,45.49,3.98,1.18,6.47,31.78,10,4.55,40.94,31.78
A0004,2024-12,Paid,0.025,0.023,0.09,3.06,1.89,4.51,21.94,1.65,1.02,2.43,11.84,10,2.19,19.75,11.84
A0004,2025-01,Paid,0.025,0.023,0.09,7.56,3.59,4.11,40.24,5.7,2.7,3.09,30.32,10,4.02,36.22,30.32
A0004,2025-02,Paid,0.025,0.023,0.09,3.33,1.39,4.21,25.42,2.61,1.09,3.3,19.91,10,2.54,22.88,19.91
A0004,2025-03,Paid,0.025,0.023,0.09,4.12,2.19,5.66,30.88,3.18,1.69,4.37,23.82,0,0.0,30.88,23.82
A0004,2025-04,Paid,0.025,0.023,0.09,2.74,2.04,5.76,34.97,1.84,1.37,3.87,23.46,0,0.0,34.97,23.46
A0004,2025-05,Paid,0.025,0.023,0.09,4.92,3.06,3.1,36.48,2.67,1.67,1.69,19.83,0,0.0,36.48,19.83
A0004,2025-06,Paid,0.025,0.023,0.09,2.23,3.34,4.56,28.45,1.24,1.86,2.54,15.87,15,4.27,24.18,15.87
A0004,2025-07,Paid,0.025,0.023,0.09,4.03,3.22,1.98,32.09,3.14,2.51,1.54,24.98,5,1.6,30.49,24.98
A0004,2025-08,Paid,0.025,0.023,0.09,5.26,2.08,3.75,31.01,3.5,1.39,2.49,20.64,0,0.0,31.01,20.64
A0004,2025-09,Paid,0.025,0.023,0.09,2.95,3.12,3.0,27.93,1.63,1.73,1.66,15.48,0,0.0,27.93,15.48
A0005,2024-01,Overdue,0.026,0.022,0.087,0.9,0.36,0.98,7.59,0.69,0.28,0.75,5.81,0,0.0,7.59,5.81
A0005,2024-02,Paid,0.026,0.022,0.087,2.1,1.31,2.23,12.7,1.46,0.91,1.54,8.8,0,0.0,12.7,8.8
A0005,2024-03,Paid,0.026,0.022,0.087,0.98,1.51,1.53,12.03,0.66,1.02,1.03,8.07,10,1.2,10.83,8.07
A0005,2024-04,Paid,0.026,0.022,0.087,0.77,0.59,1.1,6.82,0.47,0.36,0.68,4.18,5,0.34,6.48,4.18
A0005,2024-05,Paid,0.026,0.022,0.087,0.89,0.6,1.22,7.83,0.55,0.38,0.76,4.88,15,1.17,6.66,4.88
A0005,2024-06,Paid,0.026,0.022,0.087,1.22,0.87,0.73,8.84,0.7,0.5,0.42,5.06,5,0.44,8.4,5.06
A0005,2024-07,Paid,0.026,0.022,0.087,1.67,0.36,0.83,8.88,0.86,0.18,0.42,4.54,0,0.0,8.88,4.54
A0005,2024-08,Pending,0.026,0.022,0.087,1.23,0.96,1.18,8.67,0.94,0.73,0.9,6.61,10,0.87,7.8,6.61
A0005,2024-09,Paid,0.026,0.022,0.087,1.56,0.48,1.85,9.2,1.0,0.31,1.18,5.89,10,0.92,8.28,5.89
A0005,2024-10,Paid,0.026,0.022,0.087,1.61,0.42,1.44,9.05,1.07,0.28,0.95,6.01,5,0.45,8.6,6.01
A0005,2024-11,Paid,0.026,0.022,0.087,0.71,0.39,0.89,6.75,0.42,0.23,0.53,4.03,10,0.68,6.07,4.03
A0005,2024-12,Paid,0.026,0.022,0.087,0.54,0.52,0.55,5.79,0.39,0.38,0.4,4.2,5,0.29,5.5,4.2
A0005,2025-01,Paid,0.026,0.022,0.087,1.54,1.0,1.14,10.1,0.78,0.51,0.58,5.13,5,0.5,9.6,5.13
A0005,2025-02,Paid,0.026,0.022,0.087,1.54,1.0,0.56,10.05,0.94,0.61,0.34,6.15,5,0.5,9.55,6.15
A0005,2025-03,Paid,0.026,0.022,0.087,1.28,0.48,0.72,9.46,0.65,0.24,0.37,4.81,0,0.0,9.46,4.81
A0005,2025-04,Paid,0.026,0.022,0.087,0.83,0.62,1.5,8.82,0.45,0.33,0.8,4.73,0,0.0,8.82,4.73
A0005,2025-05,Pending,0.026,0.022,0.087,0.58,0.43,1.84,7.89,0.46,0.34,1.46,6.23,0,0.0,7.89,6.23
A0005,2025-06,Paid,0.026,0.022,0.087,0.78,0.37,0.91,8.12,0.54,0.26,0.63,5.67,5,0.41,7.71,5.67
A0005,2025-07,Paid,0.026,0.022,0.087,1.76,1.15,1.27,10.54,1.1,0.72,0.8,6.63,0,0.0,10.54,6.63
A0005,2025-08,Paid,0.026,0.022,0.087,1.23,0.64,0.37,6.09,0.81,0.42,0.24,4.0,5,0.3,5.79,4.0
A0005,2025-09,Paid,0.026,0.022,0.087,2.3,0.53,1.71,11.76,1.75,0.41,1.3,8.96,15,1.76,10.0,8.96
A0006,2024-01,Paid,0.025,0.023,0.09,1.24,0.99,1.79,14.41,0.75,0.59,1.08,8.69,0,0.0,14.41,8.69
A0006,2024-02,Paid,0.025,0.023,0.09,4.4,3.25,2.72,32.36,2.98,2.2,1.84,21.91,5,1.62,30.74,21.91
A0006,2024-03,Paid,0.025,0.023,0.09,5.93,2.95,5.75,35.46,4.18,2.08,4.05,25.01,10,3.55,31.91,25.01
A0006,2024-04,Pending,0.025,0.023,0.09,3.07,3.52,5.6,31.44,1.86,2.13,3.4,19.07,0,0.0,31.44,19.07
A0006,2024-05,Paid,0.025,0.023,0.09,4.77,3.41,7.42,39.85,3.12,2.23,4.87,26.13,0,0.0,39.85,26.13
A0006,2024-06,Pending,0.025,0.023,0.09,6.49,2.99,5.03,38.08,4.74,2.18,3.67,27.78,0,0.0,38.08,27.78
A0006,2024-07,Paid,0.025,0.023,0.09,3.55,1.56,3.65,22.6,2.74,1.2,2.82,17.47,0,0.0,22.6,17.47
A0006,2024-08,Paid,0.025,0.023,0.09,2.94,4.42,5.43,38.34,1.6,2.41,2.96,20.91,15,5.75,32.59,20.91
A0006,2024-09,Overdue,0.025,0.023,0.09,3.65,3.15,3.36,27.98,2.85,2.45,2.62,21.83,10,2.8,25.18,21.83
A0006,2024-10,Paid,0.025,0.023,0.09,4.53,4.25,6.82,37.88,2.27,2.13,3.42,19.0,5,1.89,35.99,19.0
A0006,2024-11,Paid,0.025,0.023,0.09,2.29,1.68,4.63,23.56,1.66,1.22,3.36,17.1,15,3.53,20.03,17.1
A0006,2024-12,Paid,0.025,0.023,0.09,7.21,3.33,4.6,39.48,5.36,2.48,3.42,29.34,10,3.95,35.53,29.34
A0006,2025-01,Paid,0.025,0.023,0.09,4.74,2.63,4.86,33.67,2.56,1.42,2.63,18.22,0,0.0,33.67,18.22
A0006,2025-02,Paid,0.025,0.023,0.09,4.18,1.45,5.87,30.77,2.62,0.91,3.68,19.25,15,4.62,26.15,19.25
A0006,2025-03,Paid,0.025,0.023,0.09,4.2,1.44,7.03,32.47,3.13,1.07,5.24,24.18,5,1.62,30.85,24.18
A0006,2025-04,Paid,0.025,0.023,0.09,3.42,1.97,5.68,29.19,1.73,0.99,2.86,14.72,10,2.92,26.27,14.72
A0006,2025-05,Pending,0.025,0.023,0.09,3.28,2.58,2.45,28.85,2.26,1.78,1.69,19.87,15,4.33,24.52,19.87
A0006,2025-06,Paid,0.025,0.023,0.09,7.53,5.46,10.38,53.13,5.56,4.03,7.66,39.2,0,0.0,53.13,39.2
A0006,2025-07,Paid,0.025,0.023,0.09,5.26,3.4,6.02,32.76,3.44,2.22,3.94,21.42,0,0.0,32.76,21.42
A0006,2025-08,Paid,0.025,0.023,0.09,4.15,1.35,5.04,31.68,2.98,0.97,3.61,22.74,0,0.0,31.68,22.74
A0006,2025-09,Paid,0.025,0.023,0.09,2.87,2.16,3.39,20.8,1.63,1.22,1.92,11.81,5,1.04,19.76,11.81
A0007,2024-01,Paid,0.025,0.023,0.09,1.44,0.56,2.42,13.22,0.8,0.31,1.36,7.4,10,1.32,11.9,7.4
A0007,2024-02,Paid,0.025,0.023,0.09,3.12,1.96,3.99,20.49,1.9,1.2,2.43,12.48,15,3.07,17.42,12.48
A0007,2024-03,Paid,0.025,0.023,0.09,1.8,1.38,0.95,14.65,1.0,0.77,0.53,8.11,0,0.0,14.65,8.11
A0007,2024-04,Paid,0.025,0.023,0.09,1.48,1.51,0.77,14.04,0.89,0.91,0.47,8.48,5,0.7,13.34,8.48
A0007,2024-05,Paid,0.025,0.023,0.09,1.72,0.88,1.44,12.45,1.35,0.69,1.13,9.76,5,0.62,11.83,9.76
A0007,2024-06,Paid,0.025,0.023,0.09,1.29,1.36,3.99,18.49,0.87,0.92,2.68,12.42,0,0.0,18.49,12.42
A0007,2024-07,Paid,0.025,0.023,0.09,2.75,1.45,2.58,17.25,1.65,0.88,1.55,10.38,0,0.0,17.25,10.38
A0007,2024-08,Overdue,0.025,0.023,0.09,2.56,1.6,1.96,18.38,1.49,0.93,1.14,10.69,0,0.0,18.38,10.69
A0007,2024-09,Paid,0.025,0.023,0.09,1.46,1.43,1.42,15.85,1.15,1.12,1.12,12.45,15,2.38,13.47,12.45
A0007,2024-10,Paid,0.025,0.023,0.09,2.52,0.8,2.17,16.12,1.6,0.5,1.37,10.21,0,0.0,16.12,10.21
A0007,2024-11,Paid,0.025,0.023,0.09,1.17,1.87,3.37,16.76,0.93,1.48,2.67,13.31,5,0.84,15.92,13.31
A0007,2024-12,Paid,0.025,0.023,0.09,1.06,1.8,2.24,14.69,0.7,1.18,1.46,9.62,10,1.47,13.22,9.62
A0007,2025-01,Paid,0.025,0.023,0.09,0.94,1.52,0.69,11.13,0.62,1.0,0.45,7.31,0,0.0,11.13,7.31
A0007,2025-02,Pending,0.025,0.023,0.09,4.67,1.4,3.63,25.18,3.59,1.08,2.79,19.36,20,5.04,20.14,19.36
A0007,2025-03,Paid,0.025,0.023,0.09,1.27,0.9,1.5,14.39,0.92,0.65,1.08,10.4,20,2.88,11.51,10.4
A0007,2025-04,Paid,0.025,0.023,0.09,2.78,1.07,4.15,20.43,1.87,0.72,2.79,13.77,0,0.0,20.43,13.77
A0007,2025-05,Pending,0.025,0.023,0.09,2.25,1.12,1.14,17.15,1.41,0.71,0.71,10.77,5,0.86,16.29,10.77
A0007,2025-06,Paid,0.025,0.023,0.09,1.78,1.52,1.6,13.17,1.36,1.16,1.22,10.06,0,0.0,13.17,10.06
A0007,2025-07,Paid,0.025,0.023,0.09,3.25,1.44,3.26,23.35,2.03,0.9,2.03,14.56,0,0.0,23.35,14.56
A0007,2025-08,Pending,0.025,0.023,0.09,3.16,1.07,0.92,15.66,2.45,0.83,0.72,12.17,0,0.0,15.66,12.17
A0007,2025-09,Paid,0.025,0.023,0.09,1.47,1.68,3.9,17.57,0.76,0.87,2.03,9.15,5,0.88,16.69,9.15
A0008,2024-01,Paid,0.026,0.022,0.087,5.66,2.46,4.97,33.86,3.56,1.54,3.13,21.3,5,1.69,32.17,21.3
A0008,2024-02,Paid,0.026,0.022,0.087,5.33,3.33,6.78,42.46,3.5,2.19,4.45,27.85,0,0.0,42.46,27.85
A0008,2024-03,Paid,0.026,0.022,0.087,3.81,3.89,3.16,38.96,2.99,3.05,2.48,30.59,0,0.0,38.96,30.59
A0008,2024-04,Paid,0.026,0.022,0.087,3.72,2.48,1.87,26.31,2.14,1.43,1.08,15.14,15,3.95,22.36,15.14
A0008,2024-05,Paid,0.026,0.022,0.087,6.95,2.74,5.86,36.2,5.15,2.03,4.35,26.85,0,0.0,36.2,26.85
A0008,2024-06,Paid,0.026,0.022,0.087,6.87,1.97,4.2,33.64,4.83,1.39,2.95,23.65,0,0.0,33.64,23.65
A0008,2024-07,Paid,0.026,0.022,0.087,6.51,2.84,3.51,34.82,4.65,2.03,2.51,24.9,5,1.74,33.08,24.9
A0008,2024-08,Paid,0.026,0.022,0.087,4.19,1.64,7.04,37.58,2.89,1.13,4.85,25.89,20,7.52,30.06,25.89
A0008,2024-09,Pending,0.026,0.022,0.087,5.49,2.43,7.82,43.86,4.35,1.92,6.19,34.72,0,0.0,43.86,34.72
A0008,2024-10,Paid,0.026,0.022,0.087,6.41,2.74,9.75,48.85,3.85,1.64,5.85,29.3,10,4.88,43.97,29.3
A0008,2024-11,Paid,0.026,0.022,0.087,3.18,1.43,1.78,23.86,1.97,0.88,1.1,14.78,10,2.39,21.47,14.78
A0008,2024-12,Pending,0.026,0.022,0.087,6.61,2.69,4.95,38.8,3.71,1.51,2.77,21.76,0,0.0,38.8,21.76
A0008,2025-01,Paid,0.026,0.022,0.087,2.66,1.93,5.41,29.55,1.37,1.0,2.79,15.22,10,2.96,26.59,15.22
A0008,2025-02,Paid,0.026,0.022,0.087,5.65,2.17,3.62,37.44,3.18,1.22,2.04,21.11,0,0.0,37.44,21.11
A0008,2025-03,Paid,0.026,0.022,0.087,3.31,1.4,5.05,28.53,2.56,1.08,3.91,22.1,5,1.43,27.1,22.1
A0008,2025-04,Paid,0.026,0.022,0.087,7.42,3.59,4.16,42.34,5.58,2.7,3.13,31.84,5,2.12,40.22,31.84
A0008,2025-05,Paid,0.026,0.022,0.087,5.44,2.69,3.64,34.99,2.9,1.44,1.94,18.67,5,1.75,33.24,18.67
A0008,2025-06,Paid,0.026,0.022,0.087,7.8,3.19,4.56,38.57,5.31,2.18,3.11,26.27,0,0.0,38.57,26.27
A0008,2025-07,Paid,0.026,0.022,0.087,4.02,1.94,6.4,30.54,2.59,1.25,4.12,19.66,10,3.05,27.49,19.66
A0008,2025-08,Paid,0.026,0.022,0.087,3.1,2.63,4.23,25.45,2.1,1.78,2.87,17.26,0,0.0,25.45,17.26
A0008,2025-09,Paid,0.026,0.022,0.087,7.91,1.66,9.0,45.1,5.52,1.16,6.28,31.47,0,0.0,45.1,31.47
A0009,2024-01,Paid,0.025,0.023,0.09,1.55,0.38,2.15,10.47,0.92,0.22,1.27,6.2,0,0.0,10.47,6.2
A0009,2024-02,Paid,0.025,0.023,0.09,1.48,1.3,2.5,16.43,1.17,1.02,1.97,12.95,5,0.82,15.61,12.95
A0009,2024-03,Paid,0.025,0.023,0.09,2.03,1.97,2.69,17.26,1.3,1.26,1.72,11.04,10,1.73,15.53,11.04
A0009,2024-04,Paid,0.025,0.023,0.09,2.45,1.35,3.23,20.16,1.69,0.93,2.22,13.88,0,0.0,20.16,13.88
A0009,2024-05,Paid,0.025,0.023,0.09,2.19,1.7,1.13,15.08,1.51,1.18,0.78,10.41,5,0.75,14.33,10.41
A0009,2024-06,Paid,0.025,0.023,0.09,3.06,1.15,1.76,16.12,1.7,0.64,0.98,8.95,0,0.0,16.12,8.95
A0009,2024-07,Paid,0.025,0.023,0.09,3.71,2.54,1.09,20.66,1.92,1.32,0.56,10.72,5,1.03,19.63,10.72
A0009,2024-08,Paid,0.025,0.023,0.09,2.91,1.01,1.55,16.05,1.81,0.63,0.97,10.01,0,0.0,16.05,10.01
A0009,2024-09,Paid,0.025,0.023,0.09,1.53,1.08,1.26,10.79,1.12,0.78,0.92,7.87,10,1.08,9.71,7.87
A0009,2024-10,Paid,0.025,0.023,0.09,3.82,2.51,2.68,26.52,2.85,1.87,1.99,19.75,0,0.0,26.52,19.75
A0009,2024-11,Paid,0.025,0.023,0.09,2.49,1.35,2.78,15.52,1.79,0.97,2.0,11.16,15,2.33,13.19,11.16
A0009,2024-12,Paid,0.025,0.023,0.09,1.58,0.7,0.79,11.53,0.84,0.38,0.42,6.16,0,0.0,11.53,6.16
A0009,2025-01,Paid,0.025,0.023,0.09,1.8,0.83,4.0,19.58,1.39,0.64,3.1,15.16,0,0.0,19.58,15.16
A0009,2025-02,Paid,0.025,0.023,0.09,2.89,2.13,2.28,18.83,2.14,1.57,1.69,13.94,0,0.0,18.83,13.94
A0009,2025-03,Paid,0.025,0.023,0.09,4.28,2.14,2.39,27.0,3.27,1.64,1.83,20.61,15,4.05,22.95,20.61
A0009,2025-04,Paid,0.025,0.023,0.09,4.15,2.37,4.17,25.89,2.73,1.56,2.74,17.01,15,3.88,22.01,17.01
A0009,2025-05,Paid,0.025,0.023,0.09,2.37,2.02,3.99,19.74,1.83,1.56,3.09,15.29,0,0.0,19.74,15.29
A0009,2025-06,Overdue,0.025,0.023,0.09,2.59,0.92,3.56,18.99,1.33,0.47,1.83,9.76,10,1.9,17.09,9.76
A0009,2025-07,Paid,0.025,0.023,0.09,4.28,2.21,4.01,24.99,2.18,1.12,2.04,12.72,10,2.5,22.49,12.72
A0009,2025-08,Paid,0.025,0.023,0.09,2.5,1.16,3.01,16.89,1.27,0.59,1.52,8.55,5,0.84,16.05,8.55
A0009,2025-09,Paid,0.025,0.023,0.09,1.87,2.21,3.8,20.88,1.08,1.27,2.19,12.02,5,1.04,19.84,12.02
A0010,2024-01,Paid,0.025,0.023,0.09,0.27,0.21,0.21,1.89,0.16,0.12,0.12,1.09,0,0.0,1.89,1.09
A0010,2024-02,Pending,0.025,0.023,0.09,0.28,0.12,0.17,1.78,0.16,0.07,0.09,0.99,0,0.0,1.78,0.99
A0010,2024-03,Paid,0.025,0.023,0.09,0.28,0.11,0.14,1.5,0.19,0.07,0.1,1.01,15,0.22,1.28,1.01
A0010,2024-04,Pending,0.025,0.023,0.09,0.25,0.18,0.2,1.6,0.13,0.09,0.1,0.82,15,0.24,1.36,0.82
